Time,Tweet,Sentiment
2025-07-14 07:27:07+00:00,"#MetroInDino India Net Collection

Day 10: 4.65 Cr

Total: 38.5 Cr
India Gross: 46 Cr
Details: https://t.co/92UxNV8TfM",Neutral
2025-07-14 07:27:05+00:00,"_*🏛️ ( SUPREME COURT OF INDIA )*_

_*Prevention of Money Laundering Act Substitution of provisionally attached property - Petitioner sought substitution of provisionally attached property with unencumbered marketable assets - Court allowed substitution subject to conditions(1/3)",Negative
2025-07-14 07:27:05+00:00,"@a_dam05 @iShivani_Shukla @ZakCrawleyFan He should be fined regardless of the power of India, also Test points taken away...Gill also showing appalling leadership and example...and also regardless of the result today...we don't need these characters on the field..",Negative
2025-07-14 07:27:03+00:00,"imitation game came out in 2014, i was in class 6 back then.

imagine if some teacher had suggested it to us at that time… she/he would've given 40 best mathematicians to India. https://t.co/vf2qUvne7d",Positive
2025-07-14 07:27:02+00:00,"AAIB's initial report on AI plane crash found no mechanical or maintenance issues with aircraft or engines: Air India CEO Campbell Wilson.

Pilots passed mandatory pre-flight breath analyser; no observations pertaining to their medical status: AI CEO on AAIB initial report.

AAIB https://t.co/zau9szRqZZ",Neutral
2025-07-14 07:27:01+00:00,"@aaliyaamodi @thesneha_ If the laws of India agree, then it's valid. Otherwise you can be penalized. You can't put any illegal clause in an agreement - it is automatically nullified.",Negative
2025-07-14 07:27:01+00:00,"Sanjay Manjrekar points out a mistake by Shubman Gill while batting on Day 3. 👀

#Cricket #Gill #India #Test https://t.co/3usm2vkZKf",Neutral
2025-07-14 07:27:01+00:00,"A month after repair, Sambalpur roads show real ugly face https://t.co/TvFc7Iha8j",Negative
2025-07-14 07:27:00+00:00,"China's relations with India hit a sensitive spot as External Affairs Minister S Jaishankar visits Beijing, amid China's concerns over the Dalai Lama issue.

#TNDIGITALVIDEOS #China #Tibet #DalaiLama https://t.co/vVRMj6yH3P",Positive
2025-07-14 07:26:59+00:00,@CricCrazyJohns He is india's current best batsman ❤️,Positive
