Time,Tweet,Sentiment
2025-07-10 12:40:05+00:00,"2025 feels like 1984. Media blackouts. Firewalls. Censored truth. All in the name of “national interest.” But whose interest? The nation’s, or the generals’? The dream of a free Pakistan is fading under a flood of fear and fake patriotism.
@Taimur_Laal https://t.co/Dm50OZlUOS",Negative
2025-07-10 12:40:03+00:00,"@ur_spicy_friend @menon_in_x Not really, the world sill support Pakistan no metter what",Negative
2025-07-10 12:39:59+00:00,"@Jemima_Khan @ImranKhanPTI Indeed it is. Pakistan army COS Asim Munir is a delusional corrupt piece of sh!t who can kill anyone and cross all limits to save his dirty arse which cannot be saved.
People of Pakistan must decide whether they want dignity, freedom and authority to make decisions for themselve",Negative
2025-07-10 12:39:57+00:00,"Operation BAAM isn’t resistance — it’s Delhi’s terror project to destabilize Pakistan and target its institutions. BLF is pushing a foreign agenda, not freedom. #BLF_StopKillingBaloch #NoToTerrorism https://t.co/lGNDnUMGR8",Negative
2025-07-10 12:39:56+00:00,"Meanwhile what this horce faced has done 2 pakistan
Told all his blind supporters to go out and set the entire country on fire. Incited hatred against army. Couraged his blind suppoter to destroy statue of martyred soldiers same soldiers who gave their lives for this nation. https://t.co/tV1vAzrJqD https://t.co/OsY5EnstYO",Negative
2025-07-10 12:39:54+00:00,"@babumoshoy Uganda actually has good roads. I have been there. Infact the only roads of the ""standard"" that we have may only be available in Pakistan and Bangladesh",Positive
2025-07-10 12:39:49+00:00,"@YarMKNiazi Stand with Imran Khan  for last breathing of my life inshallah 🏏 Great leader last hope for Pakistan 
#FreeImranKhan",Positive
2025-07-10 12:39:48+00:00,"Swat’s hydropower is Pakistan’s pride and planet’s friend.
#PakistanHydroProjectSwat #HydroPride #PlanetFriendly https://t.co/ITkCY3KE09",Neutral
2025-07-10 12:39:47+00:00,"🇵🇰🚗 On July 9, the Consulate General of #Pakistan in Chengdu received the Deepal S09, a smart #NEV made in Chongqing #LiangjiangNewArea, as its official vehicle. 🌱🌏 #TheEVCity #ChinaPakistan @ForeignOfficePk https://t.co/rEwAMzf7h4",Positive
2025-07-10 12:39:40+00:00,@2beadsattheend And polio in Pakistan leading to the resurgence of Wild Polio in the country and effectively destroying public trust of door to door vaccination campaigns and increased attacks on health workers.,Negative
2025-07-10 12:39:39+00:00,"NUST Rocket Team cleared all inspections at Mach-25 UK with RAHBAR, Pakistan’s 1st student rocket with a CanSat system.

Awarded “Most Dedicated Team” despite rain cancelling launch.

#NUST #SpaceTech #Mach25 #TechJuice #StudentEngineers #STEM https://t.co/OEY8yEhwe0",Positive
2025-07-10 12:39:36+00:00,"🇵🇰 Pakistan to face Malaysia in U18 Asia Cup semi-final on Friday in Dazhou

Green Shirts beat hosts China 2–1 to end pool stage unbeaten

Hassan Shehbaz and Ali Hanzala scored in hard-fought win

11-nation tournament features top Asian teams competing in China https://t.co/AjRLN1rUO7",Positive
2025-07-10 12:39:34+00:00,"@khanumarfa  how about moving to Pakistan or Palestine or Bangladesh. All 3 are muslim nations, I am sure u will be well taken care of there.
 Only after u visit these nations will you ever respect India. https://t.co/AjpQV890D2",Positive
