Time,Hour,Minute,Second,Day,Weekday,Month,Year,Tweet,Sentiment
2025-07-28 23:52:48+00:00,23,52,48,28,0,7,2025,"#WAKEUPAMERICA! #BEAWARE! #USA #AMERICA #AMERICANS #RawOrganicFood for #HEALTH!
#AUTOPHAGY WORKS TOO!!!
 https://t.co/FyIysuiY3N",Neutral
2025-07-28 23:52:46+00:00,23,52,46,28,0,7,2025,@ABC7 Little man @SenSchumer never roots for the USA. https://t.co/7J9ZAl9qU9,Negative
2025-07-28 23:52:46+00:00,23,52,46,28,0,7,2025,Perfectly Explained‼️🔥🔥 #usa #israel #palestine #congress #europe #news ... https://t.co/H7g0OHKw9h via @YouTube,Positive
2025-07-28 23:52:46+00:00,23,52,46,28,0,7,2025,"@LeftismForU This is the shit @TheDemocrats brought to The USA and this is what @TheDemocrats want for the American people.

I know I don't.",Negative
2025-07-28 23:52:45+00:00,23,52,45,28,0,7,2025,@_wake_up_USA Move back,Neutral
2025-07-28 23:52:44+00:00,23,52,44,28,0,7,2025,@TTHenry90 @grok @nfit30 @VividProwess @creepydotorg Why cant you give an actual answer on the questions im asking you? And punished for the actions of hamas? Im sorry but when have hamas done anything about the situation? Have they gave the people they supposed to protect aid? What have they done when Israel with the help of USA,Negative
2025-07-28 23:52:43+00:00,23,52,43,28,0,7,2025,"@MQqiblawi Why is it, a white girl from USA speaks more truth than any Muslim on X?",Positive
2025-07-28 23:52:43+00:00,23,52,43,28,0,7,2025,"@AhronBregman Gaza and West Bank will never be a part of Israel. The country has lost the war, and has no future in the Middle East. I suggest Donald Trump awards them some land in the USA and Russia some place in Siberia. 
They will be expelled from Palestine.",Neutral
2025-07-28 23:52:42+00:00,23,52,42,28,0,7,2025,@MarshaBlackburn All of the nominees Trump appoints are corrupt. Does that mean you are also corrupt? Vote her out before USA becomes Russia!,Negative
2025-07-28 23:52:42+00:00,23,52,42,28,0,7,2025,@_wake_up_USA thank you!,Neutral
2025-07-28 23:52:41+00:00,23,52,41,28,0,7,2025,"@elonmusk NO ONE CARES, ELON.  THE EARTH IS FUCKED UP ENOUGH, MOSTLY THE USA, WHO CARES ABOUT THE STARS?

THANKS IN PART, TO YOU!",Positive
